"","Player","Team","MarketValue","Age","Matches","Contract","Goals","Assists","Minutes","Height","AtClub","BothFeet","OwnGoals","Yellow","YellowRed","Red","SubOn","SubOff","Position"
"250","Imad Najah","RKC Waalwijk",4e+05,23,5,1,0,0,345,184,2,0,0,1,0,0,2,1,"Midfielder"
"251","Leonard Nienhuis","SC Cambuur-Leeuwarden",5e+05,24,31,1,0,0,2773,184,1,0,0,1,0,0,0,1,"Goalkeeper"
"252","Alfred Finnbogason","sc Heerenveen",9e+06,25,31,1,29,10,2790,184,2,0,0,2,0,0,0,0,"Forward"
"253","Uros Matic","NAC Breda",450000,23,14,2,0,0,1246,184,0.5,0,0,0,0,0,0,1,"Midfielder"
"254","Danny Verbeek","NAC Breda",6e+05,23,28,0,5,1,1484,184,2,0,0,3,0,0,7,18,"Forward"
"255","Bruno Martins Indi","Feyenoord Rotterdam",6e+06,22,26,2,2,1,2280,184,4,0,0,1,0,0,0,3,"Defender"
"256","Aron Jóhannsson","AZ Alkmaar",4e+06,23,32,3,17,6,2482,184,1.5,1,0,3,0,0,2,13,"Forward"
"257","Abel Tamata","PSV Eindhoven",6e+05,23,8,1,0,0,504,184,3,1,0,0,0,0,3,1,"Defender"
"258","Bart Schenkeveld","Heracles Almelo",5e+05,22,31,1,0,0,2538,184,2,0,0,4,1,0,2,4,"Defender"
"259","Trent Sainsbury","PEC Zwolle",750000,22,1,2,0,0,71,184,0.5,0,0,0,0,0,0,1,"Defender"
"260","Lucas Andersen","AFC Ajax",750000,19,9,2,0,0,407,184,2,0,0,0,0,0,5,3,"Midfielder"
"261","Oscar Hiljemark","PSV Eindhoven",2500000,21,27,3,2,1,1899,184,1.5,0,0,2,0,0,6,4,"Midfielder"
"262","Thijs van Hofwegen","FC Utrecht",75000,21,2,0,0,0,20,184,3,1,0,0,0,0,2,0,"Defender"
"263","Kenny van der Weg","NAC Breda",4e+05,23,22,2,1,0,1779,184,2,0,0,6,0,0,2,3,"Defender"
"264","Frank van Mosselveld","RKC Waalwijk",4e+05,30,13,1,0,0,719,185,8,0,0,3,1,0,6,1,"Defender"
"265","Kevin Begois","PEC Zwolle",350000,31,12,1,0,0,962,185,1,0,0,1,0,0,1,2,"Goalkeeper"
"266","Timothy Derijck","FC Utrecht",1e+06,26,16,0,0,0,1295,185,1,0,0,1,0,0,2,0,"Defender"
"267","Martijn Barto","SC Cambuur-Leeuwarden",3e+05,29,24,2,8,2,1349,185,3,0,0,1,0,0,9,6,"Forward"
"268","Aurélien Joachim","RKC Waalwijk",5e+05,27,32,1,6,4,2480,185,1,1,0,0,0,0,4,6,"Forward"
"269","Lasse Nielsen","NEC Nijmegen",750000,26,13,3,1,0,1051,185,0.5,0,0,1,0,0,1,3,"Defender"
"270","Mickaël Tavares","RKC Waalwijk",3e+05,31,7,0,0,0,446,185,1,0,0,1,0,0,2,1,"Midfielder"
"271","Siem de Jong","AFC Ajax",1e+07,25,19,1,7,2,1233,185,7,0,0,1,0,0,3,9,"Midfielder"
"272","Kolbeinn Sigthórsson","AFC Ajax",4e+06,24,30,1,10,2,1949,185,3,0,0,0,0,0,10,15,"Forward"
"273","Guram Kashia","Vitesse",4e+06,27,32,2,2,3,2821,185,4,0,0,9,0,0,0,2,"Defender"
"274","Daryl Janmaat","Feyenoord Rotterdam",5e+06,24,30,1,2,5,2636,185,2,0,0,2,0,0,0,4,"Defender"
"275","Samir Fazli","sc Heerenveen",2e+05,23,6,0,0,0,182,185,5,0,0,2,0,0,5,0,"Forward"
"276","Nicolai Boilesen","AFC Ajax",1500000,22,20,2,1,2,1440,185,3,0,0,3,0,0,3,6,"Defender"
