FIPS,DemRep,state_abbr,Clinton,Trump,population2014,population2010,population_change,ageunder5,ageunder18,age65plus,femaleperc,white,black,native,asian,hawaiian,morerace,hispanic,whitealone,home1year,foreignborn,nonenglish,eduhighschool,edubachelor,veteranperc,traveltime,houses,houseown,housemulti,households,pphousehold,income,poverty,retailsales,landarea,density
6057,Dem,CA,48.707078,44.15779662,98893,98748,0.1,4.2,17.8,23.4,50.8,93.6,0.6,1.2,1.4,0.2,3,0.092,85.6,86.2,6,7.7,94.3,32.3,10.19789065,24.6,53080,72.6,10.1,40991,2.38,32346,12,11111,957.77,103.1
6059,Dem,CA,50.96015442,43.28010944,3145515,3010269,4.5,6.1,23,13.1,50.6,73.5,2.1,1.1,19.6,0.4,3.3,0.343,42,84.9,30.4,45.5,83.8,36.8,4.171940048,26.3,1072011,58.7,34.2,995512,3.02,34057,12.4,15221,790.57,3807.7
6061,Rep,CA,41.16666224,52.46525656,371694,348494,6.7,5.4,22.9,17.8,51.2,85.9,1.7,1.1,7.1,0.2,4,0.135,74.2,85.1,10.6,15,93.6,35.1,8.011966833,26.9,157446,70.6,16.7,132709,2.66,34886,8.7,18622,1407.01,247.6
6063,Rep,CA,36.51189128,57.5198188,18606,20007,-7,4.4,17.2,24.7,49.8,90.9,1.2,3.2,1.1,0.1,3.5,0.084,84,85.9,5.1,9.7,89.9,22.6,12.23261314,22.9,15692,69.7,6,8997,2.13,29806,15.2,8506,2553.04,7.8
6065,Dem,CA,49.30337499,45.7593352,2329271,2189757,6.4,6.8,26.3,13.2,50.3,80.5,7,1.9,6.8,0.4,3.4,0.474,37.4,82.8,21.9,39.9,79.6,20.5,5.801772314,32,819936,66.5,16.3,683144,3.21,23591,16.2,11745,7206.48,303.8
6067,Dem,CA,58.55674337,34.86950458,1482026,1418742,4.5,6.7,24.4,12.8,51.1,64.6,10.9,1.5,15.8,1.2,6,0.225,46.6,79.8,19.9,31.2,85.9,28,6.369523881,25.7,561842,56.7,26.7,517243,2.72,26739,17.6,11357,964.64,1470.8
6069,Dem,CA,56.56998911,37.64978214,58267,55269,5.4,6.7,26.8,11.4,49.8,88.4,1.3,3.1,3.5,0.4,3.3,0.583,36,83.1,20.1,38.6,76.9,18.2,4.659584327,30.2,18113,61.6,13.6,16995,3.28,25914,11.9,6475,1388.71,39.8
6071,Dem,CA,52.02035651,42.56941157,2112619,2035215,3.8,7.3,27.2,10.3,50.2,77.3,9.5,2,7.3,0.5,3.4,0.517,30.6,82.7,21.1,41.1,78.2,18.7,4.950064351,29.9,708297,61.9,19.8,603879,3.33,21332,18.7,10897,20056.94,101.5
6073,Dem,CA,56.07101659,38.23522144,3263431,3095308,5.4,6.6,22.3,12.7,49.8,76.3,5.6,1.3,11.9,0.6,4.3,0.332,46.7,83.9,23.4,37.4,85.5,34.6,7.176833216,24.4,1187625,53.8,35.8,1076483,2.83,30668,14.4,13009,4206.63,735.8
6075,Dem,CA,85.53169356,9.442505372,852469,805195,5.9,4.6,13.4,14.4,49.1,53.8,5.8,0.8,34.9,0.5,4.2,0.153,41.2,84.1,35.6,45,86.3,52.4,3.457955656,30.5,386564,36.6,67.7,345344,2.31,48486,13.5,15516,46.87,17179.1
6077,Dem,CA,53.21534055,41.91204988,715597,685308,4.4,7.3,27.8,11.8,50.2,68.1,8.1,2,15.9,0.7,5.2,0.405,34,81.7,23.1,39.9,77.3,18.1,4.929730002,29.4,237542,58.3,17.9,215563,3.14,22589,18.2,10687,1391.32,492.6
